X	M1001	M1002	M1003	M1004	M1005	M4001	M4002	M4003	M4004	M4005
GBP4	-0.00311929459696003	-1.37619737929717	-2.90917586598817	-2.66396245129823	-2.07527031543193	2.7056556283482	2.3854014466674	1.0558489604736	2.06357457284319	0.81724469828008
BCAT1	-0.842083026729546	-1.70968038317823	-1.15353948683025	-3.11705001831622	-2.7467942323458	2.05961763637088	2.19085644431763	2.16345123243948	1.49474283898243	1.66047899528962
CMPK2	2.95944171131779	-2.0532952475594	-2.60380848165219	-0.988079423511162	-2.69767053145487	3.18830660037161	0.530724147387697	0.777127615538439	1.33559911108726	-0.448345501525176
STOX2	1.79394591163696	2.11459181608993	1.43660070600879	1.04059615247816	2.67218568604977	-2.185450396754	-1.87719367296335	-3.06024652525788	-2.29727635791374	0.362246680625351
PADI2	1.81730248642598	1.66596639826224	1.84871743952774	2.5982688803911	1.99574379762663	-2.01243039132261	-1.23419497820845	-2.46579599363923	-1.69147728930037	-2.52210034976302
SCARNA5	1.05061090567922	-0.822070774381757	4.03108706855414	-0.688779041181544	2.20314134603066	-0.71234292755708	-1.07451876055529	-2.77986733686909	-2.5613857111945	1.35412523147525
ALOX12P2	2.39895774808167	1.15107888698591	-1.68150382230262	1.03389096684762	3.28616138491729	-0.390519860296182	-2.87044898202549	-2.90161327615313	-1.22843156102144	1.20242851496637
SNORA74B	-1.06375468889404	0.566589989729931	4.83918303284119	-0.619897718346632	1.79193912051149	-1.85090415089366	-1.42116844748925	-2.01526802652264	-1.4550235073567	1.22830439642032
HIST1H2BL	-0.421192907451903	-2.15404451391278	-0.997502374255401	-0.117295030248805	-4.00288901743226	1.02771320155763	0.155795578599751	3.53509462804655	2.44414108765915	0.53017934743807
MNDA	2.10017184541884	0.719888552292572	2.66935801607234	2.5320520356441	1.7366504395565	-2.03056111922618	-1.12408413490594	-2.67763284604264	-1.96288516733712	-1.9629576214725
OLFM4	2.74284490086415	-0.163856767380353	2.11429785996239	3.08308176445201	1.08579843916296	-0.632659538489248	-2.74607143585469	-2.12893653355916	-0.957542431479759	-2.39695625767831
FLT3	-1.43815708318066	-2.18310796081626	-1.53891204077434	-1.18967986848656	-3.26459998564991	1.98270098885915	2.27383896724542	2.32645859369915	2.38731792106003	0.644140468043988
CHD7	1.77101155970731	2.12556883841615	1.80635420429164	2.11401210860141	1.77130726320619	-1.98926438599225	0.0337970366673268	-2.92108342437248	-2.40869508248602	-2.30300811803929
NFIL3	1.45295307128061	1.76263647726485	2.63673027283953	1.93436167337579	1.84988741474327	-2.12393627637205	-0.0961930954666297	-2.70647070573225	-2.19151102050659	-2.51845781142653
HSPA1B	-1.59426440418775	2.59218687304648	-0.00361348610766044	0.527045847156943	-2.7171936868526	-0.89028467885851	4.53143220796337	-0.204357856707768	-0.14187375624336	-2.09907705920915
AP5B1	1.63435706947784	2.3701754326949	1.60175316490212	1.82996488012991	2.62154313847071	-2.17825970951246	-1.7394224202142	-2.35357756238995	-2.74761633764073	-1.03891765591813
IPCEF1	1.66060379006054	2.6853921612594	1.99976943776604	1.8886923711244	1.84523606199705	-2.11852754735129	-1.14249594928005	-2.93350691128477	-2.24324389210393	-1.6419195221874
LRG1	1.95061993408231	2.45085829623373	2.47204600001939	2.13423689643156	1.05386983653748	-2.07251892066633	-1.11480108104221	-2.29766933377644	-2.67825489243727	-1.89838673538221
THBS4	2.27857580816882	2.29374127108655	1.24233776739878	2.13690591265159	2.02459979217363	-1.90315309197004	-1.31923884468838	-3.38178307552058	-1.86514398513983	-1.50684155416054
RGL4	1.85234509293156	1.41692550277757	2.38837294058177	3.1161677268935	1.30561118270159	-2.45541241318083	-1.61737961669934	-2.02575253458778	-1.6721140752027	-2.30876380621535
MPP7	2.08805623817494	2.02788283354008	0.478409298909918	3.23601211751275	1.66936063368967	-1.42326341037729	-1.40159534445792	-3.33547066527407	-1.03723706383203	-2.30215463788604
UGCG	2.04590209708023	1.99809194970532	2.82858228341633	1.32055715748855	1.70675038965155	-1.69995326023104	-0.851659138458791	-2.10960710542774	-1.94247639327256	-3.29618797995184
CYSTM1	2.02642022260296	2.63621367724006	1.8847796537167	2.35607394704895	0.75464525614491	-2.06085862876915	-0.231930455218111	-2.35581273885461	-1.85669441229621	-3.1528365216155
ANXA2	-1.61869451764294	0.14555812691533	-0.381671913665905	-1.88305997195776	-3.31811749323687	1.48738640036252	4.0350086299789	0.612448269795659	2.40024694398282	-1.47910447453177
ENDOD1	-1.05082368537489	-1.19599840474305	-1.93867865796957	-3.05169799950561	-2.49895669251342	1.79152731023797	2.93603969458285	2.46745926595446	2.03720099832069	0.503928171010591
ARHGAP24	0.287616075069884	2.28147769447707	2.95818741238482	1.68321028046666	2.44128815312419	-3.05845342629734	-1.68328076755978	-1.93766973838282	-2.19199504543362	-0.780380637849079
CST7	1.28059787055142	1.94412116367737	1.76208972699348	2.93764671545304	2.0950099459764	-3.04478906634207	-2.14857609637808	-2.39905819551496	-1.53738175364157	-0.889660310775026
HIST1H2BM	-0.415554973707808	-2.15366010448593	-1.17369259225028	0.145218077866742	-4.02488391397671	1.22576935841715	-0.0846439218771149	3.60440491737113	2.74272681304654	0.134316339596303
EREG	1.99568165432988	-1.68227984284164	2.62518112614248	-1.38030627740906	-1.91261376383341	2.10115343182973	2.05525012516879	1.21822486030296	-3.65884537060818	-1.36144594308156
EMP1	-1.76498797021716	-0.602886986685312	-0.487294979198988	-1.54614038951024	-1.79353374966305	0.110700610323945	5.5868431309627	-0.291610305881145	1.78867358729978	-0.999762947430529
NFAM1	2.05382678579702	3.35482560250548	0.717436889406606	1.47105057942158	2.41419426276787	-2.08484025210542	-1.87975381971911	-2.64051268877316	-2.16194364699584	-1.24428371230502
SLC40A1	2.91835844574217	-1.97237733657265	-1.48597691408004	2.74353942845378	3.21072815066593	-0.501047656888932	-2.41628111679682	-2.4038243036945	0.590644458483799	-0.683763155312721
CD52	-2.37153622117212	-0.669967695081437	-1.59056559182994	-1.50115500798228	-2.20413631970685	-0.222369850216654	2.38219931987906	3.63225459879301	3.19784115701157	-0.652564389694355
HIST1H2BH	-0.797286316824584	-2.259266416322	-0.463083813758791	-0.784933149713604	-4.0891791571857	1.58599477983112	0.524072266571658	3.80182233259377	2.270994568451	0.210864906357134
PFKFB3	0.821793323604156	3.07432146037502	2.33269219117079	1.44336954536283	2.28822643637773	-2.32859947250589	-0.364013177615403	-2.5033526301479	-2.4131798299756	-2.35125784664575
SNORD116-20	1.77459453855583	-1.24291057128884	2.09237788318142	1.44210347025585	-3.64889521089215	0.66595515898428	0.079557594341237	1.71558898664043	1.2277167152674	-4.10608856504545
STX11	1.73602446540121	1.96349095314373	2.16540480419928	2.8007936282658	1.29023850007675	-2.39662852851826	-0.036797112373625	-2.67143980677111	-1.55202021862327	-3.29906668480051
SYNE2	2.50826270918546	3.07589794215769	1.80314833269239	0.343778803152183	1.55360943484088	-0.811456392624905	0.234804003699633	-2.8801697147022	-2.96181766086883	-2.8660574575323
TCN1	1.59071598898803	2.30482147933348	2.11138415602114	2.37846415549593	1.0250944801619	-1.97585400651044	0.751591300022938	-3.3371717240252	-1.49406508053	-3.35498074895778
SNORA74A	-1.10355976068145	-1.54035998991794	5.95903572023916	-0.763261642255134	0.978587273246329	-1.1041677202834	-1.57888443670698	-1.10072912147602	-1.14516120645845	1.39850088429389
CD74	-1.58502031476973	-1.21848581072961	-3.19681264548628	-3.33813685232218	-0.999497874333095	1.94769343878048	1.86205994711505	1.52994676466044	1.91387891434995	3.08437443273499
EIF4E3	2.76442421518453	1.75772546592022	-0.947411270380683	-2.31474235830544	2.11130195938151	2.27833769279641	-0.185070638694428	-3.1966054082196	-3.35066123372722	1.0827015760447
MYO7B	2.19365194022914	2.6633735057375	1.26317707207295	2.18285658725347	2.60723967168954	-2.33026133747337	-1.73627523827073	-2.29216367849358	-2.84388814210276	-1.70771038064217
MX1	4.13743968522391	-2.09842079512839	-1.88816080860406	-0.357665600583285	-1.71096243261848	4.12541571461748	-0.948935066482358	-1.1719976299755	1.13158152732003	-1.21829459376934
LDLR	-3.30006803590985	3.97996661046536	-0.392550129653021	-2.79824924800636	-1.97107245762904	-1.06841705029611	2.83125167646576	1.03027592823953	0.88611517276817	0.802747533555559
S100P	1.7538995452668	1.31302743744243	2.87930639593658	3.040529373974	1.76105599511726	-2.90301285028604	-0.913520439495525	-2.24927321230796	-2.07120911439197	-2.61080313125558
PTPRCAP	-1.57379640694329	-1.87845285698908	-2.48023404698367	-2.4135157906441	-2.7994125457338	1.92269526700863	2.56723791754441	2.24424898178893	2.47766256098648	1.9335669199655
KIT	-0.714251707491911	-4.06926971598391	-1.52535248592202	-1.85777046950015	-1.76341289156182	2.48269486332585	-0.133423313805714	2.33072224052614	2.45424406512751	2.79581941528603
OLR1	2.41621847209434	1.3344939176104	2.78843358078004	2.29553107437141	2.06646118262833	-1.34086842879482	-1.55994296090792	-3.0237476701742	-1.75400912872072	-3.22257003888685
NKG7	0.710059578013858	3.77050029779986	1.33528041547716	1.55878513061602	3.0685873420222	-2.43838740914568	-1.60970215032136	-2.39777459055351	-2.7783347379361	-1.21901387597245
