"","M1001","M1002","M1003","M1004","M1005","M4001","M4002","M4003","M4004","M4005"
"PROM1",-1.3441389956899,-3.95263245297702,-1.74715578036426,-2.76192345769019,-1.73340305899924,2.55902144563758,0.903295625957799,2.21649920758376,3.22052490029561,2.63991256624586
"PGLYRP1",0.94883402620593,4.23360758368473,0.0366658175885171,1.79560155695939,2.93966095644835,-2.03844418009754,-0.802483499002781,-2.89996553066254,-1.90127378807322,-2.31220294305084
"CD74",-1.58502031476973,-1.21848581072961,-3.19681264548628,-3.33813685232218,-0.999497874333095,1.94769343878048,1.86205994711505,1.52994676466044,1.91387891434995,3.08437443273499
"SYNE2",2.50826270918546,3.07589794215769,1.80314833269239,0.343778803152183,1.55360943484088,-0.811456392624905,0.234804003699633,-2.8801697147022,-2.96181766086883,-2.8660574575323
"BCAT1",-0.842083026729546,-1.70968038317823,-1.15353948683025,-3.11705001831622,-2.7467942323458,2.05961763637088,2.19085644431763,2.16345123243948,1.49474283898243,1.66047899528962
"COL17A1",2.75243673919322,1.34168925266503,2.8607711993667,2.99766950569933,2.2960474561953,-1.91040467108528,-1.89379760894479,-3.2064872506316,-2.15829806998033,-3.07962655247758
"PFKP",-0.608933031249876,-2.0150116893835,-2.11974016919497,-2.39487687064265,-3.7483462494643,2.28723828712207,2.60919082322453,2.47034005300098,2.64155258715041,0.878586259437314
"IPCEF1",1.66060379006054,2.6853921612594,1.99976943776604,1.8886923711244,1.84523606199705,-2.11852754735129,-1.14249594928005,-2.93350691128477,-2.24324389210393,-1.6419195221874
"CST7",1.28059787055142,1.94412116367737,1.76208972699348,2.93764671545304,2.0950099459764,-3.04478906634207,-2.14857609637808,-2.39905819551496,-1.53738175364157,-0.889660310775026
"CEACAM6",2.86553303704749,3.07618835049651,1.81103494011838,2.51565359948059,3.0261038467519,-2.37342380685471,-1.66946115208901,-3.18837139719245,-2.58698277141561,-3.47627464634309
"LYZ",2.33112979425349,1.17488354075961,2.94988825124187,3.55685740004607,2.00210465175609,-2.44318053780342,-2.0708092280775,-3.14999985888882,-1.50070551265554,-2.85016850063184
"CTSG",1.82571599381109,-1.08880761584116,3.5370297234158,3.64933181401049,1.81413603442473,-2.81569714665179,-3.62533830476809,-1.28805980557644,-1.06643016291031,-0.941880529914323
"JAG1",3.00200127987329,0.988376892218067,2.124993170909,2.90240837992265,2.68184480635442,-1.3734685438663,-2.36155218687696,-3.27962859544402,-2.20289158667653,-2.48208361641361
"BPI",2.84335108204626,1.04368431075988,2.71693195948595,4.00523113450372,3.32609589647247,-2.20591638449876,-3.27886188112683,-3.51856538053411,-1.44974739071508,-3.4822033463935
"OLFM4",2.74284490086415,-0.163856767380353,2.11429785996239,3.08308176445201,1.08579843916296,-0.632659538489248,-2.74607143585469,-2.12893653355916,-0.957542431479759,-2.39695625767831
"NKG7",0.710059578013858,3.77050029779986,1.33528041547716,1.55878513061602,3.0685873420222,-2.43838740914568,-1.60970215032136,-2.39777459055351,-2.7783347379361,-1.21901387597245
"LIN7A",3.13122869737578,0.0185787879706067,3.60407607071892,1.3606677632099,2.83305490066777,-1.05141128570304,-2.79365321243795,-2.3900434465755,-2.39636179728696,-2.31613647793952
"THBS4",2.27857580816882,2.29374127108655,1.24233776739878,2.13690591265159,2.02459979217363,-1.90315309197004,-1.31923884468838,-3.38178307552058,-1.86514398513983,-1.50684155416054
"NPR3",-0.695839175535151,-3.05057176080436,-3.25035125067396,-3.52421605125138,-3.07456663263488,3.14391250092305,3.51065549245827,2.52094887458707,3.36223004041966,1.05779796251168
"PADI2",1.81730248642598,1.66596639826224,1.84871743952774,2.5982688803911,1.99574379762663,-2.01243039132261,-1.23419497820845,-2.46579599363923,-1.69147728930037,-2.52210034976302
"ARG1",1.93839637210114,1.487238089222,2.7693421577627,2.84868544879834,1.94610888784072,-1.85060002117537,-1.01823577692463,-3.41297315828785,-1.70395652861202,-3.00400547072503
"CYSTM1",2.02642022260296,2.63621367724006,1.8847796537167,2.35607394704895,0.75464525614491,-2.06085862876915,-0.231930455218111,-2.35581273885461,-1.85669441229621,-3.1528365216155
"FLT3",-1.43815708318066,-2.18310796081626,-1.53891204077434,-1.18967986848656,-3.26459998564991,1.98270098885915,2.27383896724542,2.32645859369915,2.38731792106003,0.644140468043988
"SLPI",3.60744501913539,2.97601751716575,1.84184766894733,3.20921112722114,0.48135270929928,-1.48146573519336,-0.757689102077164,-3.54012525010658,-2.03530521441462,-4.30128873997716
"CEACAM8",1.73172557767496,2.07338381674863,2.74378368875529,3.44620865443722,2.30643126091794,-2.40028419520545,-1.44522597572808,-3.43352707282336,-1.61846661894561,-3.40402913583154
"EREG",1.99568165432988,-1.68227984284164,2.62518112614248,-1.38030627740906,-1.91261376383341,2.10115343182973,2.05525012516879,1.21822486030296,-3.65884537060818,-1.36144594308156
"IFI6",4.04821924906498,-2.77497520751448,-1.43160363017845,2.51542462970912,-1.6752407045498,2.97877747622026,-2.56208409044171,-1.10537343307591,1.58743974761371,-1.58058403684772
"LDLR",-3.30006803590985,3.97996661046536,-0.392550129653021,-2.79824924800636,-1.97107245762904,-1.06841705029611,2.83125167646576,1.03027592823953,0.88611517276817,0.802747533555559
"SORT1",1.89211536387879,3.14842199051208,1.49886703380065,2.25909045756297,2.4042491245096,-2.19949881955772,-0.842806038069194,-3.14505096301435,-2.57997357905129,-2.43541457057154
"CMPK2",2.95944171131779,-2.0532952475594,-2.60380848165219,-0.988079423511162,-2.69767053145487,3.18830660037161,0.530724147387697,0.777127615538439,1.33559911108726,-0.448345501525176
"EMP1",-1.76498797021716,-0.602886986685312,-0.487294979198988,-1.54614038951024,-1.79353374966305,0.110700610323945,5.5868431309627,-0.291610305881145,1.78867358729978,-0.999762947430529
"FADS2",-2.18262627038152,-2.27689289782422,-2.30695823410316,-2.44949720685016,-2.30088776965474,1.14731035533728,2.32018109379922,3.08538342462894,2.86161970116583,2.10236780388252
"TCN1",1.59071598898803,2.30482147933348,2.11138415602114,2.37846415549593,1.0250944801619,-1.97585400651044,0.751591300022938,-3.3371717240252,-1.49406508053,-3.35498074895778
"STX11",1.73602446540121,1.96349095314373,2.16540480419928,2.8007936282658,1.29023850007675,-2.39662852851826,-0.036797112373625,-2.67143980677111,-1.55202021862327,-3.29906668480051
"IFI44L",3.48476967516597,-1.60209391673706,-2.40519649944907,-0.219880058839249,1.07962065770187,5.01363696389566,-2.92081462435311,-2.58603849174111,1.21316590034784,-1.05716960599174
"SLC40A1",2.91835844574217,-1.97237733657265,-1.48597691408004,2.74353942845378,3.21072815066593,-0.501047656888932,-2.41628111679682,-2.4038243036945,0.590644458483799,-0.683763155312721
"ARHGAP24",0.287616075069884,2.28147769447707,2.95818741238482,1.68321028046666,2.44128815312419,-3.05845342629734,-1.68328076755978,-1.93766973838282,-2.19199504543362,-0.780380637849079
"ANXA3",2.364227487779,1.59253914528324,2.86901241682053,3.23227320557772,2.41245047799367,-2.1027422702533,-1.25016295823779,-3.56655067390229,-1.82176816158346,-3.72927866947732
"S100A8",1.87880245819003,1.83443238735337,2.72531936882612,2.81548513446483,1.16890563368108,-1.61484504588915,0.156601912890144,-3.2947497477789,-1.18454415599435,-4.48540794574318
"UGCG",2.04590209708023,1.99809194970532,2.82858228341633,1.32055715748855,1.70675038965155,-1.69995326023104,-0.851659138458791,-2.10960710542774,-1.94247639327256,-3.29618797995184
"ENDOD1",-1.05082368537489,-1.19599840474305,-1.93867865796957,-3.05169799950561,-2.49895669251342,1.79152731023797,2.93603969458285,2.46745926595446,2.03720099832069,0.503928171010591
"MPP7",2.08805623817494,2.02788283354008,0.478409298909918,3.23601211751275,1.66936063368967,-1.42326341037729,-1.40159534445792,-3.33547066527407,-1.03723706383203,-2.30215463788604
"MARCKS",2.08674327280246,1.73447533962961,3.28133046302463,1.69523992354553,2.44045443253489,-2.20082268216553,-1.66309152882481,-2.8629798336551,-2.54838676485943,-1.96296262203226
"TTN",2.61105379019014,1.97881819844963,-1.01263110765684,2.47441652580243,2.69642795100416,-0.600924775792171,-1.16942862985595,-6.13263680872417,-0.751663992463552,-0.0934311509536681
"KIT",-0.714251707491911,-4.06926971598391,-1.52535248592202,-1.85777046950015,-1.76341289156182,2.48269486332585,-0.133423313805714,2.33072224052614,2.45424406512751,2.79581941528603
"MX1",4.13743968522391,-2.09842079512839,-1.88816080860406,-0.357665600583285,-1.71096243261848,4.12541571461748,-0.948935066482358,-1.1719976299755,1.13158152732003,-1.21829459376934
"SLC45A3",-0.817267886665304,-2.2910444138386,-2.08078442731427,-3.05937189047948,-2.74644343134917,2.35501022408533,3.07968759451373,2.31162707681885,1.74643046421342,1.50215669001548
